start_iso,iso,rel_s,state,x,y,rect_w,rect_h,iti_ms,event,outside_in_trial,max_outside_before_fail,trial_outcome,iti_kind,release_dwell_required_ms,release_dwell_elapsed_ms
2026-06-15T15:00:50.475,2026-06-15T15:02:41.010,110.535217,SHOW,970,505,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:02:42.012,111.536874,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:42.012,111.536930,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:44.015,113.539790,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2002
2026-06-15T15:00:50.475,2026-06-15T15:02:45.300,114.825251,SHOW,1027,464,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:02:46.302,115.827413,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:46.302,115.827468,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:48.304,117.829468,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2002
2026-06-15T15:00:50.475,2026-06-15T15:02:49.723,119.247630,SHOW,811,495,281,281,0,TOUCH_OUTSIDE,1,5,,,,
2026-06-15T15:00:50.475,2026-06-15T15:02:50.334,119.858761,SHOW,957,427,281,281,1000,TOUCH_TTL,1,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:02:50.349,119.873814,ITI,957,427,281,281,0,TOUCH_ITI_INSIDE,,,,,,
2026-06-15T15:00:50.475,2026-06-15T15:02:51.337,120.862246,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:51.337,120.862301,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:53.338,122.863584,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2001
2026-06-15T15:00:50.475,2026-06-15T15:02:54.665,124.189815,SHOW,971,495,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:02:54.682,124.206785,ITI,1007,610,281,281,0,TOUCH_ITI_INSIDE,,,,,,
2026-06-15T15:00:50.475,2026-06-15T15:02:55.666,125.190928,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:55.666,125.190974,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:02:57.668,127.192905,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2001
2026-06-15T15:00:50.475,2026-06-15T15:03:19.479,149.004484,SHOW,1007,524,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:03:20.480,150.004973,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:20.480,150.005027,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:22.484,152.008827,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2003
2026-06-15T15:00:50.475,2026-06-15T15:03:23.705,153.229759,SHOW,1006,508,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:03:24.706,154.231429,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:24.706,154.231482,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:26.707,156.231899,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2000
2026-06-15T15:00:50.475,2026-06-15T15:03:28.057,157.581814,SHOW,1007,447,281,281,1000,TOUCH_TTL,0,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:03:29.057,158.582355,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:29.057,158.582406,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:31.059,160.584593,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2002
2026-06-15T15:00:50.475,2026-06-15T15:03:31.831,161.356040,SHOW,1101,453,281,281,0,TOUCH_OUTSIDE,1,5,,,,
2026-06-15T15:00:50.475,2026-06-15T15:03:33.276,162.801134,SHOW,1006,500,281,281,1000,TOUCH_TTL,1,,success,correct,,
2026-06-15T15:00:50.475,2026-06-15T15:03:34.279,163.804239,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_WILL_REQUIRE,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:34.279,163.804290,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_START,,,,,2000,
2026-06-15T15:00:50.475,2026-06-15T15:03:36.281,165.805897,WAIT_RELEASE,-1,-1,281,281,0,RELEASE_DWELL_OK,,,,,,2001
2026-06-15T15:00:50.475,2026-06-15T15:03:37.522,167.047489,SHOW,1042,458,281,281,1000,TOUCH_TTL,0,,success,correct,,
